272
476
0	5	0	5
1	10	0	5
2	15	0	5
3	20	0	5
4	25	0	5
5	30	0	5
6	35	0	5
7	40	0	5
8	45	0	5
9	50	0	5
10	55	0	5
11	60	0	5
12	65	0	5
13	70	0	5
14	75	0	5
15	80	0	5
16	85	0	5
17	90	0	5
18	95	0	5
19	100	0	5
20	105	0	5
21	5	0	10
22	10	0	10
23	15	0	10
24	20	0	10
25	25	0	10
26	30	0	10
27	35	0	10
28	40	0	10
29	45	0	10
30	50	0	10
31	55	0	10
32	60	0	10
33	65	0	10
34	70	0	10
35	75	0	10
36	80	0	10
37	85	0	10
38	90	0	10
39	95	0	10
40	100	0	10
41	105	0	10
42	5	0	15
43	10	0	15
44	15	0	15
45	20	0	15
46	25	0	15
47	30	0	15
48	35	0	15
49	40	0	15
50	45	0	15
51	50	0	15
52	55	0	15
53	60	0	15
54	65	0	15
55	70	0	15
56	75	0	15
57	80	0	15
58	85	0	15
59	90	0	15
60	95	0	15
61	100	0	15
62	105	0	15
63	5	0	20
64	10	0	20
65	15	0	20
66	20	0	20
67	25	0	20
68	30	0	20
69	35	0	20
70	40	0	20
71	45	0	20
72	50	0	20
73	55	0	20
74	60	0	20
75	65	0	20
76	70	0	20
77	75	0	20
78	80	0	20
79	85	0	20
80	90	0	20
81	95	0	20
82	100	0	20
83	105	0	20
84	5	0	25
85	10	0	25
86	15	0	25
87	20	0	25
88	90	0	25
89	95	0	25
90	100	0	25
91	105	0	25
92	5	0	30
93	10	0	30
94	15	0	30
95	20	0	30
96	90	0	30
97	95	0	30
98	100	0	30
99	105	0	30
100	5	0	35
101	10	0	35
102	15	0	35
103	20	0	35
104	90	0	35
105	95	0	35
106	100	0	35
107	105	0	35
108	5	0	40
109	10	0	40
110	15	0	40
111	20	0	40
112	90	0	40
113	95	0	40
114	100	0	40
115	105	0	40
116	5	0	45
117	10	0	45
118	15	0	45
119	20	0	45
120	90	0	45
121	95	0	45
122	100	0	45
123	105	0	45
124	5	0	50
125	10	0	50
126	15	0	50
127	20	0	50
128	90	0	50
129	95	0	50
130	100	0	50
131	105	0	50
132	5	0	55
133	10	0	55
134	15	0	55
135	20	0	55
136	90	0	55
137	95	0	55
138	100	0	55
139	105	0	55
140	5	0	60
141	10	0	60
142	15	0	60
143	20	0	60
144	90	0	60
145	95	0	60
146	100	0	60
147	105	0	60
148	5	0	65
149	10	0	65
150	15	0	65
151	20	0	65
152	90	0	65
153	95	0	65
154	100	0	65
155	105	0	65
156	5	0	70
157	10	0	70
158	15	0	70
159	20	0	70
160	90	0	70
161	95	0	70
162	100	0	70
163	105	0	70
164	5	0	75
165	10	0	75
166	15	0	75
167	20	0	75
168	90	0	75
169	95	0	75
170	100	0	75
171	105	0	75
172	5	0	80
173	10	0	80
174	15	0	80
175	20	0	80
176	90	0	80
177	95	0	80
178	100	0	80
179	105	0	80
180	5	0	85
181	10	0	85
182	15	0	85
183	20	0	85
184	90	0	85
185	95	0	85
186	100	0	85
187	105	0	85
188	5	0	90
189	10	0	90
190	15	0	90
191	20	0	90
192	25	0	90
193	30	0	90
194	35	0	90
195	40	0	90
196	45	0	90
197	50	0	90
198	55	0	90
199	60	0	90
200	65	0	90
201	70	0	90
202	75	0	90
203	80	0	90
204	85	0	90
205	90	0	90
